item_id	name	category	unit_price
440	BALÃO DE NÚMEROS	FESTA	8.00
441	balão de numéros 40 cm	kit FESTA	8.00
442	balão dourado n4	kit FESTA	8.00
443	BALAO F. A PARABENS TAM 7	Geral	2.00
444	balão joy	Geral	7.50
445	balão joy  n 7    50	Geral	7.50
446	BALÃO JOY 6,5 LARANJA	kit FESTA	5.00
447	balão joy c 50  coral	Geral	10.00
448	balão joy c 50 marfim n 7 premium	Geral	7.50
449	balão joy n 7 ameixa c 50	Geral	7.50
450	balão joy n 7 premium  c 50 mostarda	Geral	7.50
451	balão joy n 7 premiun c 50 verde tifanny	Geral	10.00
452	BALÃO JOY N°14	FESTA	15.00
453	balão joy sortido candy c 25	Geral	8.00
454	balão joy sortido metalizado n 9 c 50	Geral	16.00
455	balão laranja 6,5	Geral	3.50
456	balão metalizado n 9 c 25 unidades   joy cor ouro	Geral	24.00
457	balão n 14 c 12 ouro cromado	kit FESTA	23.00
458	balão n 16 c 12 unid. joy   prata cromado	kit FESTA	25.00
459	balão n 2 dourado ouro pequeno 40 cm	kit FESTA	8.00
460	balao n 6 40 cm	Geral	5.00
461	BALÃO N 7 VERDE LIMÃO	Geral	7.50
462	balão n 9 c 25	kit FESTA	24.00
463	BALÃO N°5 75CM	Geral	8.00
464	BALÃO N°7 40CM	Geral	5.00
465	balão prata cromado n 9 c 25	kit FESTA	24.00
466	BALÃO PRETO 6,5 C/20	Geral	4.00
467	BALÃO ROSA 6,5 C/20	Geral	5.00
468	BALÃO ROSA N 9 COM 50	Geral	16.00
469	BALÃO ROSE N°7 50 UNID JOY	FESTA	7.50
470	balão roxo	Geral	3.00
471	BALÃO SORTIDO 6,5 C/20	Geral	4.00
472	balão sortido n 7 c 30	Geral	8.00
473	BALÃO SORTIDO N 9	Geral	16.00
474	balão verde bandeira n 7  50	Geral	10.00
475	balão verde escuro joy c 50	Geral	7.50
476	balao verde n 9  folia	Geral	16.00
477	BALÃO VERMELHO 6,5 C/20	Geral	4.00
478	balão vermelho n 6,5 c 25 unidades	Geral	3.00
479	balão vinho n 7 joy c 50	Geral	7.50
480	balcao	Geral	150.00
481	BALDÃO 97 LITROS	PLASTICOS	90.00
482	balde	Geral	90.00
483	balde	Geral	45.00
484	balde	Geral	15.70
485	balde	Geral	15.70
486	balde	Geral	7.60
487	BALDE   20 LITROS	Geral	15.00
488	balde  15 litros azul	Geral	15.00
489	BALDE 10 LITROS	UTILIDADES	12.00
490	BALDE 100 LITROS COLORIDO VERDE	Geral	100.00
491	BALDE 10L ARQPLAST azul .verde	UTILIDADES	10.00
492	BALDE 10L LIMPEZA DUPLO	Geral	12.00
493	BALDE 110 L COLORIDO ROSA	Geral	100.00
494	BALDE 7 LTS	UTILIDADES	6.80
495	balde 7L pp color ref0285	CAsa	6.00
496	balde 8 litros	Geral	6.50
497	BALDE 8 LTS	UTILIDADES	6.50
498	BALDE ACQUA LINE 13 L	COZINHA	26.00
499	BALDE ACQUA LINE 8 L CINZA	COZINHA	18.00
500	BALDE ALÇA FERRO 8 LTS	UTILIDADES	8.00
501	BALDE ARQPLAST 15 LTS	UTILIDADES	13.00
502	balde com alça   30 litros  arquaplast	Geral	30.00
503	BALDE COM ALÇA E FERRO 20 LTS	PLASTICOS	17.50
504	BALDE COM BICO  21 LITROS  AZUL	Geral	25.00
505	BALDE COM TANPA 100 L  AZUL	Geral	100.00
506	BALDE DE BEBIDAS	UTILIDADES	50.00
507	balde de praia	Geral	35.00
508	BALDE DE PRAIA ANIMAL	Geral	22.00
509	BALDE DE PRAIA GRANDE  LUCTOYS	BRINQUEDOS	20.00
510	balde implast  grande    13 litros	PLASTICOS	12.00
511	BALDE INPLAST GRANDE 13L	PLASTICOS	13.00
512	BALDE LIMP&CLEAN 8L	PLASTICOS	17.00
513	BALDE OVAL 8L	Geral	11.25
514	balde pequeno castelo	Geral	17.00
515	balde praia super castelão	Geral	35.00
516	balde tranparente  15 litros unijet	Geral	16.00
517	BALDE TRANSPARENTE 7 L	UTILIDADES	15.00
518	BALDINHO BABY ANIMAL	BRINQUEDOS	22.00
519	BALDINHO DE PRAIA	BRINQUEDOS	14.00
520	baleiro  2 andar	Geral	3.00
521	baleiro vidro	Geral	55.00
522	balés joy n 7 rosa fucsia	Geral	6.00
523	BALET	Geral	35.00
